Minimum occurences,Recall Without,Precision Without,F1-measure Without,Nr Relations Without,Recall With,Precision With,F1-measure With,Nr Relations With
86,0.11627906976744186,0.5272727272727272,0.19053876478318002,55,0.1124031007751938,0.5714285714285714,0.18785425101214576,49
87,0.11627906976744186,0.5370370370370371,0.1911667765326302,54,0.1124031007751938,0.5833333333333334,0.18848653667595175,48
88,0.11627906976744186,0.5576923076923077,0.192435301924353,52,0.1124031007751938,0.6086956521739131,0.18976396354288388,46
89,0.11627906976744186,0.5576923076923077,0.192435301924353,52,0.1124031007751938,0.6086956521739131,0.18976396354288388,46
90,0.11627906976744186,0.5576923076923077,0.192435301924353,52,0.1124031007751938,0.6086956521739131,0.18976396354288388,46
91,0.11627906976744186,0.5576923076923077,0.192435301924353,52,0.1124031007751938,0.6086956521739131,0.18976396354288388,46
92,0.11627906976744186,0.5576923076923077,0.192435301924353,52,0.1124031007751938,0.6086956521739131,0.18976396354288388,46
93,0.11627906976744186,0.5576923076923077,0.192435301924353,52,0.1124031007751938,0.6086956521739131,0.18976396354288388,46
94,0.11627906976744186,0.5576923076923077,0.192435301924353,52,0.1124031007751938,0.6086956521739131,0.18976396354288388,46
95,0.11627906976744186,0.5576923076923077,0.192435301924353,52,0.1124031007751938,0.6086956521739131,0.18976396354288388,46
96,0.11627906976744186,0.5576923076923077,0.192435301924353,52,0.1124031007751938,0.6086956521739131,0.18976396354288388,46
97,0.11627906976744186,0.5576923076923077,0.192435301924353,52,0.1124031007751938,0.6086956521739131,0.18976396354288388,46
98,0.1124031007751938,0.5490196078431373,0.18660232103872232,51,0.10852713178294573,0.6,0.1838074398249453,45
99,0.1124031007751938,0.5490196078431373,0.18660232103872232,51,0.10852713178294573,0.6,0.1838074398249453,45
100,0.1124031007751938,0.5490196078431373,0.18660232103872232,51,0.10852713178294573,0.6,0.1838074398249453,45
101,0.10852713178294573,0.54,0.18073153239301937,50,0.10465116279069768,0.5909090909090909,0.1778115501519757,44
102,0.10852713178294573,0.5510204081632653,0.18133845046773808,49,0.10465116279069768,0.6046511627906976,0.17842165459397638,43
103,0.10852713178294573,0.5510204081632653,0.18133845046773808,49,0.10465116279069768,0.6046511627906976,0.17842165459397638,43
104,0.10465116279069768,0.5416666666666666,0.17541229385307347,48,0.10077519379844961,0.5952380952380952,0.17236807212940863,42
105,0.10465116279069768,0.5416666666666666,0.17541229385307347,48,0.10077519379844961,0.5952380952380952,0.17236807212940863,42
106,0.10465116279069768,0.5416666666666666,0.17541229385307347,48,0.10077519379844961,0.5952380952380952,0.17236807212940863,42
107,0.10077519379844961,0.5319148936170213,0.16944734098018768,47,0.09689922480620156,0.5853658536585366,0.16627407510045725,41
108,0.10077519379844961,0.5319148936170213,0.16944734098018768,47,0.09689922480620156,0.5853658536585366,0.16627407510045725,41
109,0.10077519379844961,0.5319148936170213,0.16944734098018768,47,0.09689922480620156,0.5853658536585366,0.16627407510045725,41
110,0.10077519379844961,0.5319148936170213,0.16944734098018768,47,0.09689922480620156,0.5853658536585366,0.16627407510045725,41
